;data_type
misc_OI_Dv_Minus_Dv_Minus_diario;int64
misc_EqSec_OpFrac_MMC_MtNumerador_diario;int64
misc_EqPrim_Ad_Sin_total;int64
misc_EqPrim_OpPrim_Ad_Num_Inc_total;int64
misc_OI_Ad_Ad_total;int64
misc_EqPrim_Ad_Num_total;int64
misc_EqPrim_Dv_Simp_total;int64
misc_EqPrim_Dv_Sin_total;int64
misc_EqPrim_Dv_Num_total;int64
misc_EqPrim_OpPrim_Sb_Num_Inc_total;int64
misc_EqPrim_Ad_Inc_total;int64
misc_OI_Dv_Plus_Dv_Minus_total;int64
misc_OI_Mt_Minus_Ad_total;int64
misc_OI_Mt_Minus_Sb_total;int64
misc_OI_Mt_Plus_Mt_Plus_total;int64
misc_OI_Dv_Plus_Dv_Plus_total;int64
misc_EqPrim_Mt_Num_total;int64
misc_EqPrim_Mt_Sin_total;int64
misc_OI_Sb_Sb_total;int64
misc_OI_Mt_Plus_Dv_Minus_total;int64
misc_OI_Mt_Plus_Ad_total;int64
misc_OI_Dv_Minus_Dv_Plus_total;int64
misc_OI_Mt_Plus_Sb_total;int64
misc_OI_Dv_Plus_Sb_total;int64
misc_EqSec_Distrib_MtTerm_total;int64
misc_OI_Mt_Minus_Mt_Plus_total;int64
misc_OI_Mt_Minus_Mt_Minus_total;int64
misc_OI_Dv_Plus_Ad_total;int64
misc_EqPrim_Mt_Inc_total;int64
misc_EqPrim_Dv_Inc_total;int64
misc_OI_Dv_Minus_Dv_Minus_total;int64
misc_EqSec_OpFrac_MMC_MtNumerador_total;int64
traco_amabilidade_fator;float64
traco_extrovercao_fator;float64
traco_conscienciosidade_fator;float64
traco_abertura_fator;float64
traco_neuroticismo_fator;float64
traco_amabilidade_cat;int64
traco_extrovercao_cat;int64
traco_conscienciosidade_cat;int64
traco_abertura_cat;int64
traco_neuroticismo_cat;int64
estado_afetivo;object
estado_engajamento_concentrado;int64
estado_confusao;int64
estado_frustracao;int64
estado_tedio;int64
estado_indefinido;int64
ultimo_estado_afetivo;object
ultimo_engajamento_concentrado;int64
ultimo_confusao;int64
ultimo_frustracao;int64
ultimo_tedio;int64
ultimo_estado_indefinido;int64
comportamento;object
comportamento_on_task;int64
comportamento_on_task_conversation;int64
comportamento_on_task_out;int64
comportamento_off_task;int64
comportamento_on_system;int64
comportamento_indefinido;int64
ultimo_comportamento;object
ultimo_comportamento_on_task;int64
ultimo_comportamento_on_task_conversation;int64
ultimo_comportamento_on_task_out;int64
ultimo_comportamento_off_task;int64
ultimo_comportamento_on_system;int64
ultimo_comportamento_indefinido;int64
