Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model,Feature_Selection_Type,N_Features,Total_Variance_Explained
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_pca,pca,43,0.9633889916316787
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Random Forest_pca,pca,43,0.9633889916316787
8,1.0,1.0,1.0,144.0,1.0,1.0,1.0,30.0,Random Forest_pca,pca,43,0.9633889916316787
9,1.0,1.0,1.0,140.0,0.926829268292683,0.95,0.9382716049382716,40.0,Random Forest_pca,pca,43,0.9633889916316787
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,Random Forest_rf,selector,31,
1,1.0,1.0,1.0,154.0,0.9333333333333333,1.0,0.9655172413793104,28.0,Random Forest_rf,selector,31,
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_rf,selector,31,
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,Random Forest_rf,selector,31,
4,1.0,1.0,1.0,135.0,0.9387755102040817,1.0,0.968421052631579,46.0,Random Forest_rf,selector,31,
5,1.0,1.0,1.0,135.0,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0,Random Forest_rf,selector,31,
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_rf,selector,31,
7,1.0,1.0,1.0,145.0,0.9714285714285714,1.0,0.9855072463768115,34.0,Random Forest_rf,selector,31,
8,1.0,1.0,1.0,144.0,0.9655172413793104,0.9333333333333333,0.9491525423728815,30.0,Random Forest_rf,selector,31,
9,1.0,1.0,1.0,140.0,0.9736842105263158,0.925,0.9487179487179489,40.0,Random Forest_rf,selector,31,
